FEATURE,WEIGHT0
"('CHOL/HDL_RATIO', 'MEASURE_COUNTS')",0.0
"('CHOL/HDL_RATIO', 'MEDIAN_VALUE')",0.0
"('CHOL/HDL_RATIO', 'MIN_VALUE')",0.00019489863231529302
"('CHOL/HDL_RATIO', 'STD_VALUE')",0.0
"('CKMBRe', 'MAX_VALUE')",0.0009231713288180179
"('CKMBRe', 'MEAN_VALUE')",0.0005406857355125268
"('CKMBRe', 'MEASURE_COUNTS')",0.0003752573450512829
"('CKMBRe', 'MEDIAN_VALUE')",0.0003737736450101226
"('CKMBRe', 'MIN_VALUE')",0.0020990713419454955
"('CKMBRe', 'STD_VALUE')",0.0
"('CO2', 'MAX_VALUE')",0.0
"('CO2', 'MEAN_VALUE')",0.003255681342702391
"('CO2', 'MEASURE_COUNTS')",0.0001311375733544556
"('CO2', 'MEDIAN_VALUE')",0.0005405474460124635
"('CO2', 'MIN_VALUE')",0.0003576010133827432
"('CO2', 'STD_VALUE')",0.001390141802240226
"('CPK', 'MAX_VALUE')",0.0005647753926394974
"('CPK', 'MEAN_VALUE')",0.00044738592762589885
"('CPK', 'MEASURE_COUNTS')",0.0
"('CPK', 'MEDIAN_VALUE')",0.0012502666113744473
"('CPK', 'MIN_VALUE')",4.4529954398923986e-05
"('CPK', 'STD_VALUE')",0.0007260463758530759
"('CPKTot', 'MAX_VALUE')",0.00027844766881987776
"('CPKTot', 'MEAN_VALUE')",0.0008428763587971916
"('CPKTot', 'MEASURE_COUNTS')",0.00046864015884373416
"('CPKTot', 'MEDIAN_VALUE')",8.426335063048107e-05
"('CPKTot', 'MIN_VALUE')",0.0
"('CPKTot', 'STD_VALUE')",0.0
"('CRP', 'MAX_VALUE')",0.00039315120148634747
"('CRP', 'MEAN_VALUE')",0.0008202571252697126
"('CRP', 'MEASURE_COUNTS')",0.0
"('CRP', 'MEDIAN_VALUE')",0.0
"('CRP', 'MIN_VALUE')",0.00010810912246411813
"('CRP', 'STD_VALUE')",0.0002549573757270517
"('Ca', 'MAX_VALUE')",0.0024893206014640246
"('Ca', 'MEAN_VALUE')",0.00289504879194861
"('Ca', 'MEASURE_COUNTS')",1.2248412537313604e-08
"('Ca', 'MEDIAN_VALUE')",0.0005650788619413451
"('Ca', 'MIN_VALUE')",0.0018547893560194855
"('Ca', 'STD_VALUE')",0.00035575996869799127
"('CaIo', 'MAX_VALUE')",8.529681217061073e-07
"('CaIo', 'MEAN_VALUE')",0.00015676853163903003
"('CaIo', 'MEASURE_COUNTS')",0.00038263370025833863
"('CaIo', 'MEDIAN_VALUE')",0.0
"('CaIo', 'MIN_VALUE')",0.00035421083462373334
"('CaIo', 'STD_VALUE')",0.0
"('Chol', 'MAX_VALUE')",0.0009217414181922762
"('Chol', 'MEAN_VALUE')",0.0011723298399831674
"('Chol', 'MEASURE_COUNTS')",0.000741781006110702
"('Chol', 'MEDIAN_VALUE')",0.000921982770899719
"('Chol', 'MIN_VALUE')",0.0016533235778414274
